"","sensor","time","pm_1","pm_25","pm_10","location","day","sen","build_age","direction"
"228",3,213677,23,40,50,"in","Tuesday","03","new","east"
"229",3,214589,23,40,50,"in","Tuesday","03","new","east"
"230",3,215431,23,40,50,"in","Tuesday","03","new","east"
"231",3,216271,23,40,50,"in","Tuesday","03","new","east"
"232",3,217185,22,41,54,"in","Tuesday","03","new","east"
"233",3,218097,23,40,53,"in","Tuesday","03","new","east"
"234",3,219010,23,40,52,"in","Tuesday","03","new","east"
"235",3,219922,22,40,53,"in","Tuesday","03","new","east"
"236",3,220834,22,40,51,"in","Tuesday","03","new","east"
"237",3,221747,23,39,51,"in","Tuesday","03","new","east"
"238",3,222660,23,39,50,"in","Tuesday","03","new","east"
"239",3,223572,22,39,50,"in","Tuesday","03","new","east"
"240",3,224485,22,38,49,"in","Tuesday","03","new","east"
"241",3,225397,22,38,49,"in","Tuesday","03","new","east"
"242",3,226310,21,34,42,"in","Tuesday","03","new","east"
"243",3,227223,21,35,43,"in","Tuesday","03","new","east"
"244",3,228135,21,35,44,"in","Tuesday","03","new","east"
"245",3,228976,21,35,44,"in","Tuesday","03","new","east"
"246",3,229818,22,36,46,"in","Tuesday","03","new","east"
"247",3,230729,22,36,47,"in","Tuesday","03","new","east"
"248",3,231571,22,36,47,"in","Tuesday","03","new","east"
"249",3,232412,21,35,45,"in","Tuesday","03","new","east"
"250",3,233324,21,35,45,"in","Tuesday","03","new","east"
"251",3,234166,21,35,45,"in","Tuesday","03","new","east"
"252",3,235006,21,35,45,"in","Tuesday","03","new","east"
"253",3,235920,21,35,48,"in","Tuesday","03","new","east"
"254",3,236831,19,35,48,"in","Tuesday","03","new","east"
"255",3,237744,19,34,46,"in","Tuesday","03","new","east"
"256",3,238656,21,36,49,"in","Tuesday","03","new","east"
"257",3,239569,21,36,49,"in","Tuesday","03","new","east"
"258",3,240482,21,37,52,"in","Tuesday","03","new","east"
"259",3,241394,20,36,51,"in","Tuesday","03","new","east"
"260",3,242307,20,36,50,"in","Tuesday","03","new","east"
"261",3,243219,20,35,49,"in","Tuesday","03","new","east"
"262",3,244131,20,36,49,"in","Tuesday","03","new","east"
"263",3,245044,20,36,46,"in","Tuesday","03","new","east"
"264",3,245956,20,36,47,"in","Tuesday","03","new","east"
"265",3,246868,20,35,47,"in","Tuesday","03","new","east"
"266",3,247709,19,34,46,"in","Tuesday","03","new","east"
"267",3,248551,19,34,46,"in","Tuesday","03","new","east"
"268",3,249463,19,34,44,"in","Tuesday","03","new","east"
"269",3,250305,20,35,45,"in","Tuesday","03","new","east"
"270",3,251146,20,35,45,"in","Tuesday","03","new","east"
"271",3,252058,19,32,42,"in","Tuesday","03","new","east"
"272",3,252899,19,32,42,"in","Tuesday","03","new","east"
